LON,LAT,NUMBER,STREET
-79.9659927,43.259708,1,Mayfair Court
-79.9174408,43.3250378,44,Chatsworth Crescent
-79.9682615,43.2653756,6,Cloverhill Avenue
-79.907389,43.2588421,79,Newton Avenue
-79.9108026,43.3305604,100,Braeheid Avenue
-79.946076,43.3333613,806,Highway No. 6
-79.9001072,43.2981857,36,Atkinson Boulevard
-79.909304,43.2641273,89,Paisley Avenue North
-79.9319248,43.2632715,113,Grant Boulevard
-79.9431972,43.2607248,7,Allan Avenue
-79.9544785,43.2568305,31,Little John Road
-79.9710225,43.267855,322,Macnab Street
-79.9113697,43.2567261,132,Cline Avenue South
-79.9171109,43.2427487,7,San Pedro Drive
-79.9053801,43.3289584,36,Meaghan Street
-79.9678128,43.2701277,305,King Street West
-79.9698072,43.257326,24,Lynndale Drive
-79.8970076,43.2491277,92,Flatt Avenue
-79.9202094,43.249825,271,Bowman Street
-79.9047277,43.3295217,76,Riley Street
-79.9651363,43.2670869,18,Matilda Street South
-79.9712885,43.2700678,58,James Street
-79.9465305,43.2689788,11,Donald Avenue
-79.9465843,43.273581,14,Delsey Street
-79.9707495,43.4019449,391,Carlisle Road
-79.9396803,43.3037209,199,Highway No. 5 West
-79.9086824,43.2595813,131,Barclay Street
-79.9371756,43.2793333,86,Watsons Lane
-79.9027744,43.3270447,9,Glaceport Avenue
-79.9620658,43.25354,58,Autumn Leaf Road
-79.914374,43.3352392,95,Macbean Crescent
-79.9181542,43.2520965,11,Wilmont Court
-79.9080948,43.3372369,74,Cole Street
-79.9386317,43.2628949,101,Bertram Drive
-79.9080851,43.3175666,94,Grindstone Way
-79.9350618,43.2556139,25,Ramsey Crescent
-79.9533322,43.2664351,7,Cross Street
-79.9172322,43.3002112,35,Lillian Avenue
-79.9625365,43.2628313,42,Kemp Drive
-79.9094108,43.2421848,79,West 32nd Street
-79.9167029,43.3084343,60,Innovation Drive
-79.9129983,43.2596501,17,Dalewood Avenue
-79.899551,43.2469299,188,Chedoke Avenue
-79.9586712,43.272013,19,Woodlawn Court
-79.9002231,43.2682606,2,Uplands Avenue
-79.9587433,43.3656884,181,Concession 7 East
-79.9091066,43.2608451,1104,King Street West
-79.9663265,43.2674248,23,Napier Street South
-79.9050884,43.3348087,106,Harnesworth Crescent
-79.9163197,43.3261387,83,Strathroy Crescent
-79.9085553,43.3289875,56,Braeheid Avenue
-79.9127371,43.3284455,37,Karsh Crescent
-79.9339543,43.3598929,14,Cornelia Court
-79.9122107,43.3358299,194,Nisbet Boulevard
-79.954139,43.2703242,17,Alma Street
-79.9033219,43.3314631,101,Segwun Road
-79.9403071,43.3789737,389,Concession 7 East
-79.9305517,43.3606215,37,John Martin Crescent
-79.9089082,43.3257163,50,Ryans Way
-79.9097248,43.298474,18,Best Avenue
-79.9066154,43.3180486,14,Waterwheel Crescent
-79.8987062,43.3344039,34,Melanie Crescent
-79.9012472,43.3329396,118,Chudleigh Street
-79.8966095,43.3278098,15,Howard Boulevard
-79.9055747,43.3304098,62,Premier Road
-79.9029158,43.322251,89,Overdale Avenue
-79.9043261,43.3349031,119,Harnesworth Crescent
-79.9016258,43.3317128,19,Blue Jay Court
-79.9088632,43.3273776,146,Brian Boulevard
-79.898968,43.324735,53,Rockcliffe Road
-79.9081211,43.3186168,66,Grindstone Way
-79.8995016,43.3317982,94,Chudleigh Street
-79.9414684,43.3584609,971,Garden Lane
-79.963271,43.2715493,19,Brydale Court
-79.9010771,43.3309599,9,Blue Jay Court
-79.9179761,43.3266864,3,Strathroy Crescent
-79.9081207,43.3328931,3,Segwun Road
-79.9091491,43.3320607,23,Chesapeake Drive
-79.9103564,43.3212723,3,Dalrymple Drive
-79.9043636,43.3229271,160,Dundas Street East
-79.907166,43.3168789,110,Grindstone Way
-79.8998166,43.3336127,79,Hamilton Street North
-79.9077794,43.3306121,16,Rockhaven Lane
-79.9108624,43.3294047,6,Fenton Drive
-79.9054159,43.378988,933,Milburough Line
-79.910016,43.325898,46,Pinecreek Road
-79.9429922,43.2744383,177,York Road
-79.9652482,43.2715835,47,Witherspoon Street
-79.9565589,43.2574859,104 A,Old Ancaster Road
-79.9535061,43.2709698,9,Parkside Avenue
-79.9583377,43.3358508,865,Millgrove Sideroad
-79.9460688,43.2716053,135,York Road
-79.9047304,43.3351928,107,Harnesworth Crescent
-79.9089941,43.3315087,8,Royaledge Way
-79.903861,43.3327398,90,Rockhaven Lane
-79.9621401,43.299808,5,Mazza Avenue
-79.9648955,43.2713656,41,Witherspoon Street
-79.9567153,43.2737007,123,Sydenham Street
-79.9438936,43.2757317,10,McKay Road
-79.9365131,43.2502911,38,Harold Street
-79.9678724,43.3930672,339,Progreston Road
-79.9356442,43.2944018,368,Rock Chapel Road
-79.9429934,43.2612921,75,East Street South
-79.9420862,43.2719262,29,Sleepy Hollow Court
-79.9655063,43.3163908,462,Concession 4 West
-79.933118,43.3578195,919,Centre Road
-79.9357381,43.2812563,6,Renata Court
-79.9444431,43.2699248,25,Concord Avenue
-79.9422514,43.2889109,270,Rock Chapel Road
-79.898342,43.2661131,28,Edgevale Road
-79.9298206,43.2800429,1,Willowglen Court
-79.9143813,43.3326563,71,Wimberly Avenue
-79.9065664,43.3381364,132,Truedell Circle
-79.9065091,43.3381724,130,Truedell Circle
-79.9702998,43.2716248,357,King Street West
-79.9555205,43.337913,14,Binkley Court
-79.9650684,43.3992838,2,Appleridge Court
-79.9262289,43.3176401,571,Highway No. 6
-79.9108237,43.3207336,51,Hollybush Drive
-79.9127106,43.334779,229,Nisbet Boulevard
-79.9088449,43.2637751,75,Paisley Avenue North
-79.9518921,43.392125,424,Concession 8 East
-79.9607363,43.3179356,419,Concession 4 West
-79.9231913,43.2430781,15,San Fernando Drive
-79.9210025,43.2529815,39,Royal Avenue
-79.9172353,43.3321982,61,Springview Drive
-79.916083,43.3304822,142,Painter Terrace
-79.9413508,43.2504479,1884,Main Street West
-79.9449705,43.2758265,21,Marion Crescent
-79.9516215,43.3123572,579,Millgrove Sideroad
-79.9617497,43.3435983,971,Highway No. 6
-79.9657243,43.3597372,98,Concession 7 East
-79.9588735,43.27283,51,Livingstone Drive
-79.8984669,43.3257805,71,Goldenview Court
-79.8975765,43.3401158,38,Wellington Street
-79.8989155,43.3261131,57,Goldenview Court
-79.9241456,43.2484946,318,Emerson Street
-79.9559842,43.2581473,20,Pimlico Drive
-79.9663278,43.25186,11,Princess Court
-79.9285886,43.3545252,869,Centre Road
-79.9561231,43.3442403,32,Concession 6 East
-79.9452526,43.2681869,36,East Street North
-79.9274549,43.2600569,34,Sanders Boulevard
-79.9164506,43.3295467,24,Mosaic Drive
-79.9521202,43.2678018,20,Carriage Lane
-79.9147206,43.3249607,128,Hollybush Drive
-79.9246655,43.2597008,7,Sanders Boulevard
-79.911205,43.2611868,38,Dromore Crescent
-79.9354491,43.2760231,24,Cammay Avenue
-79.9301292,43.3681656,371,Concession 6 East
-79.9134935,43.2624106,134,Sterling Street
-79.9106088,43.259382,34,Cline Avenue South
-79.9658322,43.2515842,9,Autumn Leaf Road
-79.8980999,43.2429944,6,Balfour Drive
-79.9065879,43.3387418,10,Nisbet Boulevard
-79.9100638,43.3367732,123,Nisbet Boulevard
-79.9046426,43.3309381,48,Premier Road
-79.9075432,43.2609654,1067,King Street West
-79.9565493,43.2662271,66,King Street West
-79.9571843,43.2696865,39,Elgin Street
-79.9092709,43.2621724,52,Sterling Street
-79.9218428,43.2424262,100,San Pedro Drive
-79.9129947,43.3323879,14,Vollick Drive
-79.9094869,43.3233157,82,Pentland Road
-79.9627081,43.2715948,7,Brydale Court
-79.9033417,43.3308558,35,Premier Road
-79.9105054,43.3193789,28,Slater Court
-79.9106393,43.3201171,7,Slater Court
-79.8966123,43.3265043,23,Berry Hill Avenue
-79.895661,43.26211,750,King Street West
-79.9457895,43.2666455,103,King Street East
-79.9114407,43.2600513,1163,King Street West
-79.8972042,43.2678067,18,Kenmore Road
-79.9084497,43.2936939,15,Harmer Street
-79.9048822,43.2636568,176,Cline Avenue North
-79.9030514,43.2593926,131,Bond Street South
-79.9481551,43.2809515,5,Glendrummond Drive
-79.9433749,43.2746298,17,Glenmorris Drive
-79.9382717,43.2612501,23,Desjardins Avenue
-79.9433583,43.2741773,9,Glenmorris Drive
-79.9446263,43.2756112,18,McKay Road
-79.9360668,43.2821523,27,Renata Court
-79.9467991,43.2755797,107,Cameron Avenue
-79.912585,43.3267086,48,Duncan Avenue
-79.9644203,43.3954846,377,Progreston Road
-79.913554,43.333068,32,Cathedral Street
-79.9072402,43.3186571,53,Grindstone Way
-79.9044257,43.3264889,4,Chudleigh Street
-79.9375479,43.263461,77,Bertram Drive
-79.9453174,43.2714204,136,York Road
-79.9569556,43.2730881,115,Sydenham Street
-79.9455335,43.2763753,118,Cameron Avenue
-79.9405021,43.3330511,36,Concession 5 East
-79.9361326,43.2785454,28,Ravine Drive
-79.9366247,43.2760989,12,Cammay Avenue
-79.9357908,43.2624861,11,Vilma Avenue
-79.9046631,43.3351446,109,Harnesworth Crescent
-79.9065289,43.3323601,20,Keewaydin Street
-79.9041071,43.3223513,106,Overdale Avenue
-79.9141236,43.254737,218,Haddon Avenue South
-79.8956306,43.2507824,27,Flatt Avenue
-79.8961019,43.2521012,528,Aberdeen Avenue
-79.9680218,43.271982,27,Brock Street North
-79.946321,43.2743976,91,Cameron Avenue
-79.9481271,43.2792332,3,Romar Drive
-79.9145172,43.3327275,77,Wimberly Avenue
-79.905792,43.3342912,49,Harnesworth Crescent
-79.9071943,43.3376852,158,Truedell Circle
-79.9035327,43.3302383,63,Commando Court
-79.915355,43.334333,138,Wimberly Avenue
-79.9043898,43.3271421,3,Chudleigh Street
-79.9070474,43.3264656,22,Ryans Way
-79.9133094,43.3344233,249,Nisbet Boulevard
-79.9140971,43.328066,52,Karsh Crescent
-79.92859,43.3601829,21,John Martin Crescent
-79.9017615,43.3383594,316,Main Street North
-79.9116007,43.3212859,65,Hollybush Drive
-79.9334076,43.2798493,137,Watsons Lane
-79.965186,43.2850956,473,Harvest Road
-79.9355613,43.2816842,14,Renata Court
-79.9430712,43.2614702,71,East Street South
-79.9371123,43.2636058,27,David Street
-79.9082321,43.2623303,76,Cline Avenue North
-79.9004215,43.3286176,40,Culotta Drive
-79.9501568,43.2999405,471,Sydenham Road
-79.9113166,43.3199801,84,Kildonan Crescent
-79.9075449,43.3368391,46,Cole Street
-79.9149549,43.2567705,112,Westwood Avenue
-79.9294258,43.2579813,11,Binkley Road
-79.9135152,43.256875,36,Gary Avenue
-79.9225555,43.2536922,81,Royal Avenue
-79.8970869,43.2516003,12,Chedoke Avenue
-79.9221388,43.2500602,250,Broadway Avenue
-79.9203416,43.255172,85,Emerson Street
-79.915192,43.2543324,254,Haddon Avenue South
-79.9232593,43.2531319,35,Holmes Avenue
-79.8992038,43.2528737,594,Aberdeen Avenue
-79.9212329,43.3271233,35,Bousfield Court
-79.9342377,43.2519509,353,Whitney Avenue
-79.8992623,43.2671818,109,Longwood Road North
-79.9114023,43.2980633,19,Sovereign Avenue
-79.941951,43.277836,25,Martingrove Drive
-79.9446396,43.2706406,33,Concord Avenue
-79.9642158,43.2697058,190,Melville Street
-79.9382576,43.2499821,62,Harold Court
-79.9640245,43.2457369,904,Old Dundas Road
-79.9441847,43.2689833,11,Concord Avenue
-79.9348854,43.2775396,15,Yorkview Place
-79.9366413,43.2531577,8,Elizabeth Court
-79.9156259,43.326564,71,Strathroy Crescent
-79.9170447,43.325175,147,Hollybush Drive
-79.8983771,43.3402209,27,Wellington Street
-79.9066278,43.3199409,24,Grindstone Way
-79.9205937,43.3266588,7,Bousfield Court
-79.9624882,43.2553678,28,Sunrise Crescent
-79.9611927,43.2554429,10,Sunrise Crescent
-79.9114512,43.2577311,83,Haddon Avenue South
-79.8970766,43.2500736,59,Chedoke Avenue
-79.9242701,43.2552135,134,Ward Avenue
-79.8973269,43.3336923,27,Cedar Street
-79.9587025,43.2599345,55,Tally Ho
-79.9375917,43.2801119,79,Watsons Lane
-79.8995917,43.2648857,44,Longwood Road North
-79.9165004,43.2548651,114,Stroud Road
-79.925689,43.2581547,12,Hollywood Street North
-79.9191071,43.255051,85,Broadway Avenue
-79.8981358,43.270117,228,Bond Street North
-79.9094173,43.327775,136,Brian Boulevard
-79.9639636,43.264865,55,Creighton Road
-79.9143783,43.3288649,9,Karsh Crescent
-79.9376464,43.2503719,51,Beaucourt Road
-79.9388005,43.2527541,1823,Main Street West
-79.9152617,43.3079739,53,Innovation Drive
-79.9589188,43.2660972,115,Hatt Street
-79.9640279,43.2682061,231,King Street West
-79.9236782,43.306469,76,Highway No. 5 West
-79.8996171,43.2663676,83,Longwood Road North
-79.8987859,43.2697571,209,Bond Street North
-79.9450048,43.2630737,8,Meadow Lane
-79.9060305,43.2626377,63,North Oval
-79.897946,43.2635709,24,Paradise Road North
-79.9513755,43.2648394,10,York Street
-79.9016504,43.2629686,899,King Street West
-79.9444376,43.3527011,162,Concession 6 East
-79.9022425,43.2627884,16,Bond Street South
-79.9067841,43.2605374,21,Newton Avenue
-79.9401917,43.3332803,38,Concession 5 East
-79.8958434,43.2698097,199,Paradise Road North
-79.9083205,43.3393533,19,Hiscott Drive
-79.9359437,43.2520957,376,Whitney Avenue
-79.9386798,43.249563,69,Harold Court
-79.9354781,43.2549136,69,Ofield Road
-79.9353016,43.2547438,23,Lower Horning Road
-79.9356275,43.2554482,19,Lower Horning Road
-79.9360799,43.2545751,2,Sheridan Lane
-79.9365043,43.2545739,10,Sheridan Lane
-79.9373046,43.2544419,30,Sheridan Lane
-79.9345286,43.2479555,183,Lower Horning Road
-79.9370545,43.2537315,25,Mericourt Road
-79.9380681,43.2519438,75,Mericourt Road
-79.9230298,43.2430083,9,San Fernando Drive
-79.957848,43.2664502,100,King Street West
-79.9594388,43.2626255,151,Governor's Road
-79.9629572,43.2722036,107,Sundial Crescent
-79.9630884,43.2726282,123,Sundial Crescent
-79.9300263,43.3610141,11,John Martin Crescent
-79.9136327,43.3361103,33,Babcock Street
-79.9579303,43.2545116,50,Robinhood Drive
-79.9195657,43.3270591,21,Sadielou Boulevard
-79.9078762,43.3363084,81,Browview Drive
-79.9302607,43.248614,31,Brodick Street
-79.9180972,43.2555802,5,Sussex Street
-79.9124801,43.3362018,120,Fingland Crescent
-79.9084579,43.3300936,4,Rockhaven Lane
-79.9040597,43.3294624,36,Commando Court
-79.9074398,43.2610391,1061,King Street West
-79.943176,43.2465716,1983,Main Street West
-79.9465251,43.3323686,805,Highway No. 6
-79.9127697,43.3368251,97,Fingland Crescent
-79.9162826,43.334428,151,Wimberly Avenue
-79.9080401,43.3384952,22,Hugill Way
-79.9054746,43.2598791,52,Paisley Avenue South
-79.9695164,43.2637842,34,Joya Place
-79.8987476,43.2692634,200,Bond Street North
-79.9502839,43.2681859,8,Helen Street
-79.9509515,43.2650507,22,York Street
-79.9062845,43.2614361,1031,King Street West
-79.9457982,43.2656923,47,Cootes Drive
-79.9121162,43.319467,16,Clappison Avenue
-79.965032,43.2544393,10,Glen Court
-79.9117532,43.3262043,64,Duncan Avenue
-79.9238874,43.2490482,294,Emerson Street
-79.9201625,43.2499293,269,Bowman Street
-79.9678758,43.3963424,43,Parkshore Place
-79.9649498,43.4205489,1585,Milburough Line
-79.9308429,43.3597915,48,John Martin Crescent
-79.9141436,43.3355678,27,Macbean Crescent
-79.9112358,43.3371545,24,White Gates Drive
-79.9536367,43.2559571,82,Robinhood Drive
-79.9201061,43.328354,38,Gunby Boulevard
-79.9197794,43.3276886,6,Painter Terrace
-79.9063657,43.3230854,10,McDonald Court
-79.9077355,43.3376304,4,Truedell Circle
-79.9075392,43.3261746,30,Ryans Way
-79.8963816,43.3331351,11,Fern Avenue
-79.9448908,43.2632863,10,Meadow Lane
-79.9495166,43.2662705,44,York Road
-79.8993184,43.2655131,60,Longwood Road North
-79.9449774,43.2597808,12,Tweedsmuir Avenue
-79.9094988,43.3050582,339,Old Guelph Road
-79.9224628,43.3003195,72,Patterson Road
-79.9084317,43.2420262,91,West 31st Street
-79.9203402,43.2511135,236,Bowman Street
-79.9453262,43.2684565,38,East Street North
-79.9657404,43.2711407,235,Melville Street
-79.93633,43.2805851,4,Westoby Court
-79.9072403,43.262563,29,Paisley Avenue North
-79.9042936,43.2608468,12,Barclay Street
-79.9136761,43.261818,53,Whitton Road
-79.9039258,43.2601653,26,Arkell Street
-79.9638171,43.3949938,378,Progreston Road
-79.9413869,43.2598372,6,Osler Court
-79.9039413,43.331249,98,Segwun Road
-79.9710773,43.258133,5,Highland Park Drive
-79.9230235,43.2505698,55,Willowcrest Avenue
-79.9048541,43.3336193,21,Harnesworth Crescent
-79.9697263,43.407075,21,Palomino Drive
-79.8991944,43.3636122,514,Concession 5 East
-79.9124092,43.3317048,4,Wimberly Avenue
-79.9155671,43.3302699,160,Springview Drive
-79.9136078,43.3202136,36,Clappison Avenue
-79.9704118,43.4055263,14,Palomino Drive
-79.91029,43.3205495,100,Kildonan Crescent
-79.9059549,43.3286898,33,Meaghan Street
-79.9116672,43.331134,110,Braeheid Avenue
-79.9656731,43.2532596,90,Pleasant Avenue
-79.9062851,43.2445742,11,Upper Paradise Road
-79.9326458,43.2653539,38,Bertram Drive
-79.939934,43.2623628,33,Dunning Court
-79.9564652,43.2620378,50,Governor's Road
-79.968768,43.2628847,26,Ann Street
-79.9103856,43.2627469,82,Dromore Crescent
-79.9107335,43.3053727,346,Old Guelph Road
-79.9128389,43.3215046,22,Kildonan Crescent
-79.9044048,43.3297534,24,Commando Court
-79.9150077,43.2563033,107,Westwood Avenue
-79.9071585,43.3302412,8,Meaghan Street
-79.9178787,43.3267705,5,Strathroy Crescent
-79.9174856,43.3254925,155,Hollybush Drive
-79.9158825,43.3241936,9,Heathfield Crescent
-79.921785,43.3279748,70,Bousfield Rise
-79.9380585,43.2605822,13,Desjardins Avenue
-79.9124695,43.2607308,20,Dalewood Crescent
-79.9643139,43.2688375,12,Matilda Street North
-79.89925,43.26567,64,Longwood Road North
-79.9125961,43.3241043,101,Ryans Way
-79.9074668,43.3274843,23,Braeheid Avenue
-79.9034656,43.3263865,15,Eileen Street
-79.9035254,43.3329549,104,Rockhaven Lane
-79.9088461,43.3285552,55,Braeheid Avenue
-79.8992884,43.340238,286,Mill Street North
